strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
mean,10,drop0.3,5,0.0010046429877310112,0.8866704829902075,1200
mean,10,drop0.3,6,0.00024283364119400297,0.8811673073971387,1200
mean,10,drop0.3,7,0.000303571864391839,0.8680368533834358,1200
mean,10,drop0.3,8,0.0019545043631565753,0.8835448352282795,1200
mean,10,drop0.3,9,0.0007626048707475509,0.8780530982772133,1200
mean,20,drop0.3,0,0.3762760225792794,0.9508189972713655,2400
mean,20,drop0.3,1,0.015919677836939167,0.906992991778795,2400
mean,20,drop0.3,2,0.5349816484304474,0.9539209131475843,2400
mean,20,drop0.3,3,0.28528673863297305,0.9621269684519692,2400
mean,20,drop0.3,4,0.09343044507348187,0.9409657694374108,2400
mean,20,drop0.3,5,0.28191180833710267,0.9621143277020212,2400
mean,20,drop0.3,6,0.36765540514653067,0.9510837068547473,2400
mean,20,drop0.3,7,0.4427610311281629,0.9652056502480301,2400
mean,20,drop0.3,8,0.05459415661252717,0.927798702802231,2400
mean,20,drop0.3,9,0.22735654142531006,0.9549012260579111,2400
mean,40,drop0.3,0,1.9657342754464964,0.9695528395770259,4800
mean,40,drop0.3,1,0.20035602237335137,0.9262639345557689,4800
mean,40,drop0.3,2,2.398888541043843,0.9729221367295634,4800
mean,40,drop0.3,3,1.1570444066722576,0.964100193188338,4800
